brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Gibson,Les Paul Standard 50s,2019,,6,24.75,24.75,22,Nickel-silver,false,Indian Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,Burstbucker 2,,Burstbucker 1
Gibson,Les Paul Standard 60s,2019,,6,24.75,24.75,22,Nickel-silver,false,Indian Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,Burstbucker 61T,,Burstbucker 61R
Gibson,Les Paul Studio,2019,,6,24.75,24.75,22,Nickel-silver,false,Indian Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,43.1,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,498T,,490R
Gibson,Les Paul Custom,2019,,6,24.75,24.75,22,Nickel-silver,false,Ebony,12 in,Set-neck,Mahogany,'60s Slim Taper,,,42.9,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Corian Nut,Grover Rotomatic Keystone,498T,,490R
Gibson,Les Paul Special,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,43.1,Mahogany,Double-cut,3+3,3-way toggle,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90,,P-90
Gibson,Les Paul Junior,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,43.1,Mahogany,Les Paul,3+3,None,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90 Dog Ear,,,
Gibson,Les Paul Modern,2019,,6,24.75,24.75,22,Nickel-silver,false,Ebony,12 in,Set-neck,Mahogany,Asymmetric,,,43.1,Mahogany/Maple Top,Les Paul,3+3,3-way + push-pull,USA,Gibson Nashville Tune-o-matic,SG Graph Tech Nut,Grover Rotomatic Locking,Burstbucker Pro+,,Burstbucker Pro
Gibson,Les Paul Tribute,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,490T,,490R
Gibson,SG Standard,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,43.1,Mahogany,SG,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,490T,,490R
Gibson,SG Standard '61,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany,SG,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,Burstbucker 61T,,Burstbucker 61R
Gibson,SG Special,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany,SG,3+3,3-way toggle,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90,,P-90
Gibson,SG Junior,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany,SG,3+3,None,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90 Dog Ear,,,
Gibson,SG Modern,2019,,6,24.75,24.75,24,Nickel-silver,false,Ebony,Compound 12-16 in,Set-neck,Mahogany,Asymmetric,,,43.1,Mahogany,SG,3+3,3-way + push-pull,USA,Gibson Nashville Tune-o-matic,SG Graph Tech Nut,Grover Rotomatic Locking,Burstbucker Pro+,,Burstbucker Pro
Gibson,Explorer,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Modern C,,,43.1,Mahogany,Explorer,6-in-line,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,Burstbucker 2,,Burstbucker 1
Gibson,Flying V,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Modern C,,,43.1,Mahogany,Flying V,6-in-line,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,490T,,490R
Gibson,Firebird,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Neck-through,Mahogany,'60s Slim Taper,,,43.1,Mahogany,Firebird,Reverse 6-in-line,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Mini,Firebird Mini Humbucker Lead,,Firebird Mini Humbucker Rhythm
Gibson,ES-335,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Oval C,,,43.1,Mahogany,Semi-hollow,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,Calibrated T-Type Lead,,Calibrated T-Type Rhythm
Gibson,ES-339,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Oval C,,,43.1,Mahogany,Semi-hollow,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,SG Graph Tech Nut,Grover Rotomatic Kidney,57 Classic Plus,,57 Classic
Gibson,ES-345,1959,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Oval C,22.4,25.4,43.0,Mahogany,Semi-hollow,3+3,Special,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,Calibrated T-Type Lead,,Calibrated T-Type Rhythm
Epiphone,Les Paul Standard 50s,2020,,6,24.75,24.75,22,Nickel-silver,false,Indian Laurel,12 in,Set-neck,Mahogany,'59 Rounded,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,China,Epiphone LockTone Tune-o-matic,Gibson Graph Tech Nut,Epiphone Vintage Deluxe Tuners,ProBucker-2,,ProBucker-1
Epiphone,SG Standard,2020,,6,24.75,24.75,22,Nickel-silver,false,Indian Laurel,12 in,Set-neck,Mahogany,'60s Slim Taper,,,43.0,Mahogany,SG,3+3,3-way toggle,China,Epiphone LockTone Tune-o-matic,Epiphone Graph Tech Nut,Grover Rotomatic 3+3,ProBucker-3,,ProBucker-2
Epiphone,Casino,1961,,6,24.75,24.75,22,Nickel-silver,false,Indian Laurel,12 in,Set-neck,Mahogany,'60s Slim Taper,,,42.7,Maple,Hollowbody,3+3,3-way toggle,China,Epiphone LockTone Tune-o-matic Trapeze,Epiphone Casino Graph Tech Nut,Epiphone Vintage Deluxe Tuners,P-90 PRO Dog Ear Bridge,,P-90 PRO Dog Ear Neck
