brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Ibanez,RG550,1987,1994,6,25.5,25.5,24,Nickel-silver,false,Maple,,Bolt-on,Maple,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,V8,S1,V7
Ibanez,RG550 Genesis,2017,,6,25.5,25.5,24,Nickel-silver,false,Maple,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,V8,S1,V7
Ibanez,RG570,1989,2002,6,25.5,25.5,24,Nickel-silver,false,Rosewood,,Bolt-on,Maple,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,V8,S1,V7
Ibanez,RG2550,2001,,6,25.5,25.5,24,Nickel-silver,false,Rosewood,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Zero II,Ibanez Locking Nut,Gotoh MG-T Locking,The Tone Zone,True Velvet,Air Norton
Ibanez,RG652AHM,2016,,6,25.5,25.5,24,Stainless steel,false,Birdseye Maple,,Bolt-on,5-piece Maple/Walnut,Super Wizard,,,,Ash,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Gotoh MG-T Locking,The Tone Zone,,Air Norton
Ibanez,RG5120M,2019,,6,25.5,25.5,24,Stainless steel,false,Birdseye Maple,,Bolt-on,5-piece Maple/Walnut,Super Wizard,,,,African Mahogany,Superstrat,6-in-line,5-way,Japan,Lo-Pro Edge,Ibanez Locking Nut,Gotoh MG-T Locking,Fluence Modern H,,Fluence Modern H
Ibanez,RG7421,2013,,7,25.5,25.5,24,Nickel-silver,false,Jatoba,,Bolt-on,5-piece Maple/Walnut,Wizard,,,48.0,Basswood,Superstrat,7-in-line,5-way,Indonesia,Gibraltar Standard II-7,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,,Quantum Humbucker
Ibanez,RG752,2012,,7,25.5,25.5,24,Nickel-silver,false,Birdseye Maple,,Bolt-on,5-piece Maple/Walnut,Wizard,,,48.0,Basswood,Superstrat,7-in-line,5-way,Japan,Lo-Pro Edge 7,Ibanez Locking Nut,Gotoh MG-T Locking 7,PAF 7,,PAF 7
Ibanez,RG8,2012,,8,27.0,27.0,24,Nickel-silver,false,Rosewood,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,Basswood,Superstrat,8-in-line,5-way,Indonesia,Mono-rail 8,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,IBZ-8 Humbucker,,IBZ-8 Humbucker
Ibanez,RGD7421,2012,2014,7,26.5,26.5,24,Nickel-silver,false,Rosewood,,Bolt-on,5-piece Maple/Walnut,Wizard II,,,48.0,Basswood,Superstrat,7-in-line,5-way,Indonesia,Gibraltar Standard II-7,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,,Quantum Humbucker
