brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Jackson,JS Series Kelly JS32,,2019,6,25.5,25.5,24,,false,,Compound 12-16 in,Bolt-on,Maple,Speed Neck,19.7,21.2,42.9,Poplar,Kelly,6-in-line,3-way toggle,,FR Licensed Jackson Double-Locking Tremolo,FR Licensed Jackson Locking Nut,Jackson Sealed Die-Cast,High-Output Humbucker,,High-Output Humbucker
Jackson,JS Series Warrior JS32,,2019,6,25.5,25.5,24,,false,,Compound 12-16 in,Bolt-on,Maple,Speed Neck,,,42.9,Poplar,Warrior,6-in-line,3-way toggle,,FR Licensed Jackson Double-Locking Tremolo,FR Licensed Jackson Locking Nut,Jackson Sealed Die-Cast,High-Output Humbucker,,High-Output Humbucker
Jackson,JS Series Rhoads MAH JS32,,2020,6,25.5,25.5,24,,false,,Compound 12-16 in,Bolt-on,Maple,Speed Neck,19.7,21.2,42.9,Mahogany,Rhoads,6-in-line,3-way toggle,,FR Licensed Jackson Double-Locking Tremolo,FR Licensed Jackson Locking Nut,Jackson Sealed Die-Cast,High-Output Humbucker,,High-Output Humbucker
Jackson,X Series Soloist SLX DX,2021,,6,25.5,25.5,24,,false,Laurel,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Poplar,Soloist,6-in-line,3-way,,FR Special Double-Locking Tremolo,FR Special Locking Nut,Jackson Sealed Die-Cast,HB-103B,,HB-103N
Jackson,X Series Soloist SLXM DX,2022,,6,25.5,25.5,24,,false,Laurel,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Poplar,Soloist,6-in-line,3-way,,FR Special Double-Locking Tremolo,FR Special Locking Nut,Jackson Sealed Die-Cast,HB-103B,,HB-103N
Jackson,Pro Series Soloist SL2Q MAH,,2021,6,25.5,25.5,24,,false,Ebony,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Mahogany,Soloist,6-in-line,5-way blade,,FR 1000 Series Double-Locking Tremolo,FR Special Locking Nut,Jackson Sealed Die-Cast,Distortion TB-6,,Distortion SH-6N
Jackson,Pro Series Rhoads RR3,,2020,6,25.5,25.5,22,,false,Ebony,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Mahogany,Rhoads,6-in-line,3-way toggle,,FR 1000 Series Double-Locking Tremolo,FR 1000 Series Locking Nut,Jackson Sealed Die-Cast,Distortion TB-6,,Distortion SH-6N
Jackson,Pro Series King V KV,,2021,6,25.5,25.5,24,,false,Ebony,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Mahogany,King V,6-in-line,3-way toggle,,FR 1000 Series Double-Locking Tremolo,FR 1000 Series Locking Nut,Jackson Sealed Die-Cast,Distortion TB-6,,Distortion SH-6N
Jackson,Pro Series King V KVTMG,,2022,6,25.5,25.5,24,,false,Ebony,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Mahogany,King V,6-in-line,3-way toggle,,FR 1000 Series Double-Locking Tremolo,FR 1000 Series Locking Nut,Jackson Sealed Die-Cast,Distortion TB-6,,Distortion SH-6N
Jackson,Pro Series Signature Misha Mansoor Juggernaut HT6,,2021,6,25.5,25.5,24,,false,Maple,20 in,Bolt-on,Maple,Speed Neck,,,43.2,Basswood,Dinky,6-in-line,5-way blade,,HT6 String-Through Hardtail,TUSQ XL Nut,Jackson Sealed Die-Cast Locking,MM1 Humbucker,,MM1 Humbucker
Jackson,Pro Series Signature Misha Mansoor Juggernaut HT7,,2021,7,26.5,26.5,24,,false,Maple,20 in,Bolt-on,Maple,Speed Neck,,,44.5,Basswood,Dinky,7-in-line,5-way blade,,HT7 String-Through Hardtail,TUSQ XL Nut,Jackson Sealed Die-Cast Locking,MM1 Humbucker,,MM1 Humbucker
Jackson,Pro Series Signature Misha Mansoor Juggernaut HT7P,,2022,7,26.5,26.5,24,,false,Maple,20 in,Bolt-on,Maple,Speed Neck,,,44.5,Basswood,Dinky,7-in-line,5-way blade,,HT7 String-Through Hardtail,TUSQ XL Nut,Jackson Sealed Die-Cast Locking,MM1 Humbucker,,MM1 Humbucker
Jackson,Pro Series Signature Chris Broderick Soloist 6,,2022,6,25.5,25.5,24,,false,Laurel,12 in,Neck-through,Maple,Speed Neck,,,42.9,Mahogany,Soloist,Reverse 6-in-line,3-way toggle,,FR Special Double-Locking Tremolo,FR Locking Nut,Jackson Sealed Die-Cast,CB6 Humbucker,,CB6 Humbucker
Jackson,Pro Series Signature Chris Broderick Soloist 7,,2022,7,25.5,25.5,24,,false,Laurel,12 in,Neck-through,Maple,Speed Neck,,,44.5,Mahogany,Soloist,Reverse 6-in-line,3-way toggle,,FR Special 7-String Double-Locking Tremolo,FR Locking Nut,Jackson Sealed Die-Cast,CB7 Humbucker,,CB7 Humbucker
Jackson,Pro Plus Series Soloist SL2,,2022,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple,Speed Neck,,,42.9,Okoume,Soloist,6-in-line,5-way blade,,FR 1000 Series Double-Locking Tremolo,FR Special Locking Nut,Jackson Sealed Die-Cast,Distortion TB-6,,Distortion SH-6N
Jackson,Pro Plus Series Rhoads RR24,,2022,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple/Walnut,Speed Neck,,,42.9,Okoume,Rhoads,6-in-line,3-way toggle,,FR 1000 Series Double-Locking Tremolo,FR 1000 Series Locking Nut,Jackson Sealed Die-Cast,Distortion TB-6,,Distortion SH-6N
Jackson,Pro Plus Series Signature Chris Broderick Soloist 6,,2023,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,3-piece Maple,Speed Neck,,,42.9,Mahogany,Soloist,Reverse 6-in-line,3-way toggle,,GE1996T Double-Locking Tremolo,FR Locking Nut,Jackson Sealed Die-Cast,CB6 Humbucker,,CB6 Humbucker
Jackson,Pro Plus Series Signature Chris Broderick Soloist 7,,2023,7,25.5,25.5,24,Stainless steel,false,Ebony,12 in,Neck-through,3-piece Maple,Speed Neck,,,44.5,Mahogany,Soloist,Reverse 6-in-line,3-way toggle,,GE1996T-7 Double-Locking Tremolo,FR Locking Nut,Jackson Sealed Die-Cast,CB7 Humbucker,,CB7 Humbucker
Jackson,Pro Series DK Modern HT6 MS,,2022,6,25.5,26.5,24,,false,Ebony,Compound 12-16 in,Bolt-on,Maple/Wenge,Speed Neck,,,42.9,Basswood,Dinky,Reverse 6-in-line,3-way,,Hipshot 6 Fixed Bridge,TUSQ XL Nut,Gotoh Locking,Fluence Modern PRF-MH7,,Fluence Modern PRF-MH7
