brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Mayones,Regius Core 6,,,6,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Neck-through,,,20.5,21.5,43.0,Swamp Ash/Maple Top,Superstrat,6-in-line,3-way,Poland,Gotoh 510 6-String Fixed,Graph Tech Black TUSQ 6,Hipshot GripLock 6,Velvetrone Ironside 6,,Velvetrone Solium 6
Mayones,Regius Core 7,,,7,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Neck-through,,,20.5,21.5,,Swamp Ash/Maple Top,Superstrat,7-in-line,3-way,Poland,Hipshot Fixed 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,Velvetrone Ironside 7,,Velvetrone Solium 7
Mayones,Regius Core Classic 8,,,8,27.0,27.0,24,Stainless steel,false,Ebony,16 in,Neck-through,,,,,,Swamp Ash/Maple Top,Superstrat,8-in-line,3-way,Poland,Hipshot Fixed 8,Graph Tech Black TUSQ 8,Hipshot GripLock 8,BKP TKO 8,,BKP TKO 8
Mayones,Regius 6,,,6,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Neck-through,,,20.5,21.5,43.0,Swamp Ash/Maple Top,Superstrat,6-in-line,3-way,Poland,Hipshot Fixed 6,Graph Tech Black TUSQ 6,Hipshot GripLock 6,BKP TKO 6 Bridge,,BKP TKO 6 Neck
Mayones,Regius 7,,,7,26.5,26.5,24,Stainless steel,false,Ebony,16 in,Neck-through,,,20.5,21.5,49.0,Swamp Ash/Maple Top,Superstrat,7-in-line,3-way,Poland,Hipshot Fixed 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,BKP TKO 7 Bridge,,BKP TKO 7 Neck
Mayones,Regius 8,,,8,28.0,28.0,24,Stainless steel,false,Ebony,16 in,Neck-through,,,,,,Swamp Ash/Maple Top,Superstrat,8-in-line,3-way,Poland,Hipshot Fixed 8,Graph Tech Black TUSQ 8,Hipshot GripLock 8,Velvetrone Ironside 8,,Velvetrone Solium 8
Mayones,Duvell Elite 6,,,6,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,20.0,21.0,43.5,Mahogany/Flamed Maple Top,Superstrat,6-in-line,3-way,Poland,Hipshot Fixed 6,Graph Tech Black TUSQ 6,Hipshot GripLock 6,BKP TKO 6 Bridge,,BKP TKO 6 Neck
Mayones,Duvell Elite 7,,,7,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,20.5,21.5,,Swamp Ash/Maple Top,Superstrat,7-in-line,3-way,Poland,Hipshot Fixed 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,BKP TKO 7 Bridge,,BKP TKO 7 Neck
Mayones,Duvell Elite VF 7,,,7,25.4,27.0,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,20.5,21.5,43.0,Mahogany/Maple Top,Superstrat,7-in-line,3-way,Poland,ABM Single Saddle VF 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,BKP Aftermath 7 Bridge,,BKP Aftermath 7 Neck
Mayones,Duvell BL 6,,,6,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,,,43.0,,Superstrat,6-in-line,3-way,Poland,Hipshot Fixed 6,Graph Tech Black TUSQ 6,Hipshot GripLock 6,SD Nazgul Bridge,,SD Sentient Neck
Mayones,Duvell BL 7,,,7,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,,,48.5,,Superstrat,7-in-line,3-way,Poland,Hipshot Fixed 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,SD Nazgul 7,,SD Sentient 7
Mayones,Setius GTM 6,,,6,25.4,25.4,24,Nickel-silver,false,Ebony,16 in,Bolt-on,,,20.5,21.5,43.0,Mahogany/Flamed Maple Top,Superstrat,6-in-line,3-way,Poland,Mayones TOM String-Thru,Graph Tech Black TUSQ 6,Schaller M6 Mini 3+3,SD SH-4 JB,,SD SH-2 Jazz
Mayones,Setius GTM 7,,,7,25.4,25.4,24,Nickel-silver,false,Rosewood,16 in,Bolt-on,,,20.5,21.5,49.0,Mahogany/Flamed Maple Top,Superstrat,7-in-line,3-way,Poland,Mayones TOM String-Thru,Graph Tech Black TUSQ 7,Schaller M6 Mini 4+3,BKP Rebel Yell 7 Bridge,,BKP VHII 7 Neck
Mayones,Hydra Elite 6,,,6,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,,,43.5,Mahogany/Maple Top,Superstrat,Headless,3-way,Poland,ABM Single Saddle 6,Graph Tech Black TUSQ 6,Hipshot GripLock 6,SD Nazgul Bridge,,SD Sentient Neck
Mayones,Hydra Elite VF 6,,,6,25.4,27.0,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,,,43.5,Mahogany/Maple Top,Superstrat,Headless,5-way,Poland,ABM Single Saddle VF 6,Graph Tech Black TUSQ 6,Hipshot GripLock 6,Fishman Fluence Modern 6,,Fishman Fluence Modern 6
Mayones,Hydra Elite 7,,,7,25.4,25.4,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,20.0,,48.5,Mahogany/Maple Top,Superstrat,Headless,3-way,Poland,ABM Single Saddle 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,SD Nazgul 7 Bridge,,SD Sentient 7
Mayones,Hydra Elite VF 7,,,7,25.4,27.0,24,Stainless steel,false,Ebony,16 in,Bolt-on,,,20.5,21.5,48.5,Mahogany/Maple Top,Superstrat,Headless,5-way,Poland,ABM Single Saddle VF 7,Graph Tech Black TUSQ 7,Hipshot GripLock 7,Fishman Fluence Modern 7,,Fishman Fluence Modern 7
Mayones,Aquila Elite V24 6,,,6,25.4,25.4,24,Stainless steel,false,Ebony,12 in,Bolt-on,,,22.0,23.0,43.5,Swamp Ash/Maple Top,Superstrat,6-in-line,5-way,Poland,Gotoh 510 Tremolo,Graph Tech Black TUSQ 6,Gotoh 510 Locking 6,Velvetrone Chori,Velvetrone Lionheart,Velvetrone Lionheart
Mayones,Legend V22 6,,,6,25.4,25.4,22,Stainless steel,false,Maple,16 in,Set-neck,,,20.5,21.5,43.0,Alder/Maple Top,Single-cut,6-in-line,3-way,Poland,Hipshot Fixed 6,Graph Tech Black TUSQ 6,Schaller Locking 6,SD TB-4 JB,,SD SH-2 Jazz
