brand,name,is_locking,ratio,tuner_type,description
Gotoh,Gotoh Locking Tuners,true,,locking,Gotoh sealed locking tuning machines
Grover,Grover Tuners,false,,sealed,Grover sealed machine heads
Generic,LTD Locking Tuners,true,,locking,ESP LTD branded locking tuning machines
Generic,LTD Tuners,false,,sealed,ESP LTD branded standard tuning machines
Fender,Fender ClassicGear,false,18:1,sealed,Sealed vintage-style ClassicGear tuner with 18:1 ratio; used on Player and Performer series
Fender,Fender Standard Cast Sealed Staggered,false,,sealed,Fender standard cast/sealed staggered tuner; used on American Professional II series
Fender,Fender Deluxe Cast Sealed Locking,true,,locking,Deluxe cast/sealed locking tuner with all-short posts; used on American Professional II and Player Plus series
Fender,Fender Pure Vintage Single Line Fender,false,,vintage,Pure vintage single-line Fender-stamped open-gear tuner; reproduction of 1950s-60s Kluson-style machines
Fender,Fender Vintage Style No Logo,false,,vintage,Vintage-style open-gear tuner without logo; used on Vintera II series
Gibson,Gibson Vintage Deluxe Tuners,false,14:1,vintage,Kluson-style keystone-button tuners; used on Les Paul Standard 50s and ES-345
Grover,Grover Rotomatic Kidney,false,18:1,sealed,Grover Rotomatic tuners with kidney buttons; used on Les Paul Standard 60s and SG Standard
Grover,Grover Rotomatic Locking,true,18:1,locking,Grover locking Rotomatic tuners; used on Les Paul Modern and SG Modern
Grover,Grover Rotomatic Mini,false,18:1,sealed,Grover Mini Rotomatic tuners; used on Gibson Firebird (banjo-style mounting)
Grover,Grover Rotomatic Keystone,false,18:1,sealed,Grover Rotomatic tuners with keystone buttons; used on Les Paul Custom and Explorer
Epiphone,Epiphone Vintage Deluxe Tuners,false,18:1,vintage,Epiphone Vintage Deluxe tuners; used on Epiphone Les Paul Standard 50s and Casino
Grover,Grover Rotomatic 3+3,false,18:1,sealed,Grover Rotomatic 3+3 tuners; used on Epiphone SG Standard
Gotoh,Gotoh SG381,false,16:1,sealed,Sealed-gear machine head with 16:1 ratio and Lubri-Coat coating; available in 3+3 and 6-in-line; mid-range flagship of the SG series
Gotoh,Gotoh SG301,false,18:1,sealed,Sealed-gear machine head with 18:1 ratio; larger body than SG381 with retention screw below post; not suitable for 6-in-line
Gotoh,Gotoh SG360,false,14:1,sealed,Sealed-gear machine head with 14:1 ratio; compact SG series tuner available in 3+3 and 6-in-line configurations
Gotoh,Gotoh SD90,false,15:1,vintage,Vintage-style open-gear machine head with 15:1 ratio; 3+3 array; available with Magnum Lock and HAP post options
Gotoh,Gotoh SD91,false,15:1,vintage,Vintage-style open-gear machine head with 15:1 ratio; classic Kluson-inspired styling; available for 3+3 and 6-in-line
Gotoh,Gotoh SDS510,false,15:1,vintage,Vintage-style SD510 series machine head with 15:1 ratio; features DSL mechanism and X-Finish coating
Gotoh,Gotoh SGS510,false,15:1,sealed,SG510 series sealed-gear machine head with 15:1 ratio; features X-Finish and Lubri-Plate; available in 3+3 and 6-in-line
Gotoh,Gotoh SGS510Z,false,18:1,sealed,SG510 series sealed-gear machine head with 18:1 ratio; premium precision over SGS510; supports MG and HAP-M post variants
Gotoh,Gotoh 35G510,false,16:1,open_gear,Classical guitar open-gear machine head with 16:1 ratio; 35G510 series with precision roller nut and multiple plate materials
Gotoh,Gotoh SG381 MG-T,true,16:1,locking,Sealed-gear Magnum Lock Trad locking tuner based on SG381 with 16:1 ratio; rear thumbwheel locks string post after tuning; fast restringing
Gotoh,Gotoh SD90 MG-T,true,15:1,locking,Vintage-style Magnum Lock Trad locking tuner based on SD90 with 15:1 ratio; combines open-gear aesthetics with tool-free string locking
Gotoh,Gotoh SD91 MG-T,true,15:1,locking,Vintage-style Magnum Lock Trad locking tuner based on SD91 with 15:1 ratio; Rock-Solid construction with rear thumbwheel string lock
